group,metric,analysis_role,scope,phase,input_source,output_column_or_pattern,exact_formula,unit,undefined_policy
melody,onset_phase_entropy,primary,first8,v1,input_melody,first8_onset_phase_entropy,Shannon entropy of distinct onset counts over four 0.25-beat phases divided by log(4),normalized entropy [0;1],NaN with no onset
melody,full_window_family,secondary,full,v1,input_melody,full_{onset_note_density|distinct_onset_density|peak_onset_rate_4beat|peak_onset_rate_8beat|ioi_median|ioi_p10|ioi_p90|ioi_cv|duration_median|duration_p10|duration_p90|duration_cv|one_step_duration_rate|active_coverage|empty_beat_rate|longest_onset_gap|pitch_range|robust_pitch_range|pitch_median|pitch_std|abs_interval_median|abs_interval_p90|leap_gt7_rate|leap_gt12_rate|pitch_class_entropy|onset_phase_entropy},Same formula as corresponding first8 metric with window [0;full_horizon_beats),same as corresponding first8 metric,Same condition as corresponding first8 metric; all NaN if Melody is empty
representativeness,density_log_ratio,primary,prefix_vs_full,v1,input_melody,prefix_full_abs_density_log_ratio,Absolute natural log of ((first8 onset density+1e-8)/(full onset density+1e-8)),absolute log ratio,NaN if either source value is undefined
representativeness,duration_log_ratio,primary,prefix_vs_full,v1,input_melody,prefix_full_abs_median_duration_log_ratio,Absolute natural log of ((first8 median duration+1e-8)/(full median duration+1e-8)),absolute log ratio,NaN if either median is undefined
representativeness,robust_pitch_range_difference,primary,prefix_vs_full,v1,input_melody,prefix_full_abs_robust_pitch_range_difference,Absolute first8 robust pitch range minus full robust pitch range,semitones,NaN if either range is undefined
representativeness,pitch_class_js,primary,prefix_vs_full,v1,input_melody,prefix_full_pitch_class_js_divergence,Jensen-Shannon divergence between first8 and full duration-weighted pitch-class distributions divided by log(2),normalized divergence [0;1],NaN if either distribution has zero mass
representativeness,onset_phase_js,primary,prefix_vs_full,v1,input_melody,prefix_full_onset_phase_js_divergence,Jensen-Shannon divergence between first8 and full four-phase distinct-onset distributions divided by log(2),normalized divergence [0;1],NaN if either distribution has zero mass
prompt,has_accompaniment,primary,first8,v1,selected_prompt,prompt_has_accompaniment,One when an exactly named Accompaniment track exists; zero for a valid Melody-only empty prompt,binary,Blank only for missing invalid or ambiguous prompt MIDI
prompt,note_count,primary,first8,v1,selected_prompt,prompt_note_count,Count accompaniment note starts in [0;8),notes,Zero for empty prompt
prompt,onset_density,primary,first8,v1,selected_prompt,prompt_{onset_note_density|distinct_onset_density},Prompt note starts and distinct quantized prompt onset positions in [0;8) divided by 8,notes or onsets per beat,Zero for empty prompt
prompt,coverage,primary,first8,v1,selected_prompt,prompt_{active_coverage|empty_beat_rate},Union duration divided by 8 and fraction of eight integer beat cells without active prompt overlap,fraction,For empty prompt active coverage is zero and empty beat rate is one
prompt,duration_stats,primary,first8,v1,selected_prompt,prompt_{duration_median|duration_p10|duration_p90|duration_cv|one_step_duration_rate},Median/p10/p90/CV of prompt intervals clipped to [0;8) and fraction of durations <=0.25 beat,quarter-note beats or ratio,NaN for empty prompt
prompt,pitch_stats,primary,first8,v1,selected_prompt,prompt_{pitch_range|robust_pitch_range|pitch_median},Max-minus-min; p95-minus-p05; and median of pitches whose notes start in [0;8),semitones or MIDI pitch,NaN for empty prompt
prompt,pitch_class_entropy,primary,first8,v1,selected_prompt,prompt_pitch_class_entropy,Duration-weighted prompt pitch-class Shannon entropy divided by log(12),normalized entropy [0;1],NaN for empty prompt
prompt,onset_phase_entropy,primary,first8,v1,selected_prompt,prompt_onset_phase_entropy,Distinct prompt-onset four-phase Shannon entropy divided by log(4),normalized entropy [0;1],NaN for empty prompt
prompt,average_voice_number,primary,first8,v1,selected_prompt,prompt_average_voice_number,Mean count of active prompt notes over 32 quantized 0.25-beat cells,voices,Zero for empty prompt
prompt,groove_consistency,primary,first8,v1,selected_prompt,prompt_groove_consistency,Jaccard similarity of binary 16-step onset vectors for beats [0;4) and [4;8),similarity [0;1],NaN when both bars contain no onset
relation,density_log_ratio,primary,first8,v1,input_melody+selected_prompt,relation_{log_density_ratio|abs_log_density_ratio},Natural log of ((prompt onset density+1e-8)/(Melody onset density+1e-8)) and its absolute value,signed or absolute log ratio,NaN if either density is undefined
relation,duration_log_mismatch,primary,first8,v1,input_melody+selected_prompt,relation_abs_median_duration_log_mismatch,Absolute natural log of ((prompt median duration+1e-8)/(Melody median duration+1e-8)),absolute log ratio,NaN if either median duration is undefined
relation,pitch_class_js,primary,first8,v1,input_melody+selected_prompt,relation_pitch_class_js_divergence,Normalized Jensen-Shannon divergence between Melody and prompt duration-weighted pitch-class distributions,normalized divergence [0;1],NaN if either distribution has zero mass
relation,onset_phase_js,primary,first8,v1,input_melody+selected_prompt,relation_onset_phase_js_divergence,Normalized Jensen-Shannon divergence between Melody and prompt four-phase distinct-onset distributions,normalized divergence [0;1],NaN if either distribution has zero mass
relation,pitch_median_gap,primary,first8,v1,input_melody+selected_prompt,relation_abs_pitch_median_gap,Absolute difference between prompt and Melody median MIDI pitch,semitones,NaN if either track has no onset note
prompt,ppl,v2,first8,v2,prompt_model_token_logs,not_emitted_in_v1; exp(mean negative token log probability) over selected Prompt tokens,perplexity,Unavailable unless raw selected-sample token log probabilities are retained
